genre,korean,english
fantasy,서문,INTRODUCTION
fantasy,"모든 어린이들은 환상적이고 신기하고 아주 비현실적인 이야기들에 대한 건전하고 본능적인 사랑을 가지고 있기 때문에 모든 시대를 통해 어린 시절엔 민담이나 전설, 신화와 동화가 따라 다닌다. 그림 형제와 안데르센 이야기에 나오는 날개 달린 요정들은 어린이들의 마음에 다른 모든 인간의 창조물보다 더 큰 행복감을 가져다 준다.","Folk lore, legends, myths and fairy tales have followed childhood through the ages, for every healthy youngster has a wholesome and instinctive love for stories fantastic, marvelous and manifestly unreal. The winged fairies of Grimm and Andersen have brought more happiness to childish hearts than all other human creations."
fantasy,"하지만 오랜 옛날의 동화들은 여러 세대를 거쳐오면서 지금은 어린이 도서관에서 “역사”로 분류되고 있다. 또한 공포심을 통해 도덕성을 조성하고자 하는 저자들에 의해 정형화된 정령, 난쟁이, 요정들이 제거되고, 무시무시하고 소름돋는 사건들이 가득한 새로운 “놀라운 이야기”들이 나오는 시대가 되었다. 현대의 교육은 교훈을 주려고 하고 있다. 그래서 현대의 아이들은 그 놀라운 이야기 속에서 오직 여흥만을 찾을 뿐이며 유쾌하지 못한 사건들은 기꺼이 생략해 버린다.","Yet the old-time fairy tale, having served for generations, may now be classed as ""historical"" in the children's library; for the time has come for a series of newer ""wonder tales"" in which the stereotyped genie, dwarf and fairy are eliminated, together with all the horrible and blood-curdling incident devised by their authors to point a fearsome moral to each tale. Modern education includes morality; therefore the modern child seeks only entertainment in its wonder-tales and gladly dispenses with all disagreeable incident."
fantasy,이런 생각에 기초하여 <오즈의 위대한 마법사> 이야기는 오로지 오늘날의 아이들이 즐길 수 있도록 썼다. 이를 통해 경이로움과 즐거움이 지속되고 괴로움과 악몽이 사라지게 하는 현대적인 동화가 계속되기를 열망한다.,"Having this thought in mind, the story of ""The Wonderful Wizard of Oz"" was written solely to pleasure children of today. It aspires to being a modernized fairy tale, in which the wonderment and joy are retained and the heart-aches and nightmares are left out."
fantasy,L. 프랭크 바움,L. Frank Baum.
fantasy,"1900년 4월, 시카고에서.","Chicago, April, 1900."
fantasy,목차,LIST OF CHAPTERS.
fantasy,1. 회오리바람,CHAPTER I.—The Cyclone.
fantasy,2. 먼치킨들과의 만남,CHAPTER II.—The Council with The Munchkins.
fantasy,3. 도로시는 어떻게 허수아비를 구했나,CHAPTER III.—How Dorothy Saved the Scarecrow.
